#           Observatorio Astronomico Nacional San Pedro Martir
#STAR_ID           RA        DEC        U        B        V        R        I 
#1                  2          3        4        5        6        7        8 
65         274.555755 -12.262016  13.2356    13.17   13.022  12.8442  12.7105
192        274.548804 -12.180081  12.7606   13.092   13.038  12.9642  13.0085
1120       274.489082 -12.207772  12.9616   13.149   13.069  12.9672  13.0265
77         274.555753 -12.216350  12.6596   13.076    13.07  13.0122  13.0635
1183       274.483414 -12.255186  13.2236   13.305   13.106  12.9632  12.9815
776        274.512000 -12.193194  13.3296   13.441    13.12  12.8082  12.6135
646        274.519667 -12.226046  13.3576   13.501   13.176  12.8542  12.6605
393        274.535882 -12.214792  13.7686   13.466   13.221  13.0212  13.0275
335        274.538796 -12.276703  95.3236   15.019   13.238  11.7782  10.5115
1266       274.474243 -12.180183  13.2586   13.425   13.254  13.0522  12.9065
56         274.556244 -12.262598  13.3546   13.536   13.263  13.0152  12.8775
1401       274.446870 -12.236254  13.6266   13.675   13.298  12.9842  12.7875
1341       274.460473 -12.271254  13.6496   13.679   13.332  13.0742  12.9455
286        274.542376 -12.238037  13.6186   13.536   13.337  13.1542  13.1545
975        274.499892 -12.175767  13.4476   13.475   13.378  13.2642  13.2135
1389       274.450910 -12.176109  13.1186   13.467   13.396  13.2932  13.3215
741        274.513194 -12.236463  13.5526   13.729   13.432  13.1882  13.0605
1177       274.484963 -12.172601  13.8516   13.701   13.476  13.2862  13.2605
1333       274.461539 -12.258070  13.7286    13.81   13.487  13.2262  13.0975
912        274.503249 -12.233011  95.3236   96.022   13.491  13.4662  13.5005
1372       274.454600 -12.177788  13.8676     13.9   13.545  13.2292  13.0555
1147       274.487566 -12.181025  14.1366   14.081   13.578  13.1462  12.8475
1021       274.495862 -12.237698  14.0356   13.976   13.696  13.3962  13.1425
1065       274.493609 -12.168187  13.9746   13.933   13.712  13.5442  13.4345
1086       274.491332 -12.234216  95.3236   14.873   13.736  12.8742  12.2325
26         274.559134 -12.225220  14.4086   14.028   13.736  13.5112  13.4845
159        274.549934 -12.249038  14.5706   14.235   13.748  13.3572  13.1765
933        274.502188 -12.224697  13.6046   13.887   13.762  13.6522  13.6935
322        274.539857 -12.241379  95.3236   14.983   13.768  12.8792  12.2245
390        274.536531 -12.169411  13.7126   13.978   13.768  13.5842  13.4765
558        274.524313 -12.277964  13.9166   13.947   13.768  13.5702  13.4045
475        274.529690 -12.237803  14.1816    14.09   13.782  13.6882  13.6915
656        274.518260 -12.281791  13.7866   13.951   13.793  13.6212  13.5325
299        274.540937 -12.274640  13.5106   13.854   13.829  13.7582  13.8225
439        274.532357 -12.216353  95.3236   15.033   13.882  12.9842  12.3385
486        274.529100 -12.235987  95.3236   13.797   13.886  12.7552  11.5545
102        274.553385 -12.273049  14.4736   14.279   13.895  13.5052  13.1525
978        274.498855 -12.237349  95.3236    14.35    13.91  13.5002  13.3625
1263       274.474075 -12.225883  14.3256   14.405    13.94  13.5712  13.3215
1149       274.487591 -12.171656  13.9386   14.164   13.951  13.7462  13.6675
529        274.526441 -12.235998  95.3236   13.155   13.956  97.5352  98.2045
1152       274.487228 -12.172561  14.3216   14.459   13.961  13.5832  13.3135
543        274.525816 -12.235671  95.3236   13.186   13.972  97.5352  98.2045
